iter	Passed	Remaining
0	1	146
1	3	164
2	4	147
3	6	148
4	7	147
5	8	139
6	10	137
7	11	137
8	14	141
9	16	144
10	17	141
11	18	138
12	20	139
13	22	136
14	24	136
15	25	132
16	26	131
17	28	129
18	29	126
19	31	124
20	32	123
21	34	122
22	36	122
23	38	120
24	39	118
25	40	116
26	42	114
27	43	112
28	44	109
29	46	107
30	47	106
31	48	103
32	50	103
33	51	100
34	53	99
35	54	97
36	55	95
37	57	93
38	58	92
39	60	90
40	62	89
41	63	87
42	70	93
43	73	92
44	75	92
45	78	91
46	80	91
47	82	89
48	84	88
49	86	86
50	88	85
51	90	83
52	93	83
53	95	81
54	96	79
55	98	77
56	100	75
57	102	74
58	104	72
59	106	71
60	109	69
61	110	67
62	112	65
63	114	64
64	116	62
65	118	60
66	120	59
67	121	57
68	124	55
69	125	53
70	127	51
71	129	50
72	131	48
73	132	46
74	134	44
75	136	43
76	138	41
77	140	39
78	142	37
79	143	35
80	145	34
81	146	32
82	147	30
83	149	28
84	150	26
85	152	24
86	153	22
87	154	21
88	155	19
89	157	17
90	158	15
91	160	13
92	161	12
93	163	10
94	165	8
95	166	6
96	168	5
97	169	3
98	170	1
99	172	0
